providerEmail,title,description,categories,location,priceRate,dateTime
newuser114@example.com,Jasa Angkut Barang,"Pindahan rumah, kos, atau pengiriman barang besar dengan armada pickup di Bekasi.",Logistik|Transportasi,"Bekasi, Jawa Barat",345000,2025-01-04T04:43:00.929002Z
newuser130@example.com,Montir Motor Darurat,"Bantuan darurat untuk motor mogok, ban bocor, atau masalah mesin lainnya di jalan area Bogor.",Montir|Otomotif,"Bogor, Jawa Barat",110000,2025-04-25T21:45:09.929002Z
newuser151@example.com,Servis Komputer & Laptop Panggilan,"Perbaikan hardware, instalasi software, dan pembersihan virus untuk PC/laptop di Bandung.",Teknisi|IT,"Bandung, Jawa Barat",345000,2026-03-31T17:54:03.929002Z
newuser159@example.com,Katering Makanan Sehat Harian,Menyediakan menu katering harian yang sehat dan lezat untuk makan siang kantor atau di rumah area Bekasi.,Kuliner|Katering,"Bekasi, Jawa Barat",35000,2025-04-08T18:54:05.929002Z
newuser160@example.com,Pelatih Kebugaran Pribadi (Personal Trainer),Program latihan pribadi di rumah atau gym untuk mencapai target kebugaran Anda di Cirebon.,Kesehatan|Olahraga,"Cirebon, Jawa Barat",210000,2024-11-10T18:53:24.929002Z
newuser163@example.com,Servis AC Handal,"Cuci, perbaikan, dan isi freon AC untuk berbagai merek di Depok.",Teknisi|Elektronik,"Depok, Jawa Barat",85000,2025-10-11T11:07:07.929002Z
newuser166@example.com,Jasa Dekorasi Acara,"Dekorasi untuk acara lamaran, aqiqah, atau ulang tahun dengan tema sesuai permintaan di Jakarta Selatan.",Kreatif|Dekorasi,"Jakarta Selatan, DKI Jakarta",1025000,2025-12-16T18:57:37.929002Z
newuser169@example.com,Admin Media Sosial Freelance,Mengelola dan membuat konten untuk akun Instagram/Facebook bisnis Anda di Jakarta Selatan.,Digital|Marketing,"Jakarta Selatan, DKI Jakarta",1130000,2025-06-02T11:59:15.929002Z
newuser170@example.com,Katering Makanan Sehat Harian,Menyediakan menu katering harian yang sehat dan lezat untuk makan siang kantor atau di rumah area Cirebon.,Kuliner|Katering,"Cirebon, Jawa Barat",30000,2026-01-05T19:57:27.929002Z
newuser174@example.com,Jasa Cuci Pakaian Kiloan,"Layanan cuci, setrika, dan lipat pakaian dengan antar jemput di Jakarta Selatan.",ART|Rumah Tangga,"Jakarta Selatan, DKI Jakarta",40000,2024-11-27T06:16:16.929002Z
newuser178@example.com,Penulis Konten SEO Lepas,Menulis artikel blog dan konten website yang SEO-friendly untuk berbagai niche di Cirebon.,Kreatif|Penulis,"Cirebon, Jawa Barat",320000,2024-12-29T01:06:27.929002Z
newuser185@example.com,Montir Motor Darurat,"Bantuan darurat untuk motor mogok, ban bocor, atau masalah mesin lainnya di jalan area Depok.",Montir|Otomotif,"Depok, Jawa Barat",130000,2025-12-03T09:14:52.929002Z
newuser188@example.com,Jasa Pembuatan Website Sederhana,Membangun website profil perusahaan atau portofolio pribadi dengan desain modern di Bandung.,Digital|Pengembangan Web,"Bandung, Jawa Barat",890000,2026-01-06T19:37:45.929002Z
newuser195@example.com,Pelatih Kebugaran Pribadi (Personal Trainer),Program latihan pribadi di rumah atau gym untuk mencapai target kebugaran Anda di Jakarta Selatan.,Kesehatan|Olahraga,"Jakarta Selatan, DKI Jakarta",235000,2024-11-06T07:50:31.929002Z
newuser198@example.com,Tukang Ledeng Profesional,"Mengatasi saluran air mampet, kebocoran pipa, dan instalasi keran di Jakarta Selatan.",Tukang|Ledeng,"Jakarta Selatan, DKI Jakarta",270000,2025-05-31T04:44:37.929002Z
newuser202@example.com,Montir Mobil Panggilan,"Servis ringan, ganti oli, dan perbaikan darurat untuk mobil Anda di Bogor.",Montir|Otomotif,"Bogor, Jawa Barat",530000,2025-10-26T11:40:50.929002Z
newuser206@example.com,Tukang Kebun Panggilan,"Merawat taman, memotong rumput, dan menata tanaman untuk rumah Anda di Jakarta Selatan.",Tukang|Pertamanan,"Jakarta Selatan, DKI Jakarta",90000,2024-09-14T13:29:15.929002Z
newuser208@example.com,Montir Mobil Panggilan,"Servis ringan, ganti oli, dan perbaikan darurat untuk mobil Anda di Depok.",Montir|Otomotif,"Depok, Jawa Barat",345000,2025-09-02T13:02:50.929002Z
newuser209@example.com,Tukang Listrik Panggilan,Perbaikan dan instalasi listrik untuk rumah dan kantor di Jakarta Selatan.,Tukang|Listrik,"Jakarta Selatan, DKI Jakarta",145000,2025-01-05T03:30:20.929002Z
newuser210@example.com,Penerjemah Dokumen (Inggris-Indonesia),"Jasa penerjemahan dokumen, artikel, atau buku dari Bahasa Inggris ke Indonesia (atau sebaliknya) di Bandung.",Bahasa|Penerjemah,"Bandung, Jawa Barat",155000,2024-09-02T03:25:55.929002Z
newuser211@example.com,Tukang Kebun Panggilan,"Merawat taman, memotong rumput, dan menata tanaman untuk rumah Anda di Depok.",Tukang|Pertamanan,"Depok, Jawa Barat",110000,2025-03-10T01:19:24.929002Z
newuser212@example.com,Pelatih Kebugaran Pribadi (Personal Trainer),Program latihan pribadi di rumah atau gym untuk mencapai target kebugaran Anda di Jakarta Selatan.,Kesehatan|Olahraga,"Jakarta Selatan, DKI Jakarta",155000,2025-11-29T19:55:13.929002Z
newuser214@example.com,Jasa Cuci Pakaian Kiloan,"Layanan cuci, setrika, dan lipat pakaian dengan antar jemput di Bogor.",ART|Rumah Tangga,"Bogor, Jawa Barat",75000,2025-05-05T14:25:04.929002Z
newuser220@example.com,Penerjemah Dokumen (Inggris-Indonesia),"Jasa penerjemahan dokumen, artikel, atau buku dari Bahasa Inggris ke Indonesia (atau sebaliknya) di Cirebon.",Bahasa|Penerjemah,"Cirebon, Jawa Barat",275000,2026-01-08T11:15:01.929002Z
newuser225@example.com,Badut Ulang Tahun Anak,"Memeriahkan pesta ulang tahun anak dengan sulap, permainan, dan balon karakter di Cirebon.",Hiburan|Anak,"Cirebon, Jawa Barat",605000,2025-04-23T05:50:13.929002Z
newuser229@example.com,Montir Motor Darurat,"Bantuan darurat untuk motor mogok, ban bocor, atau masalah mesin lainnya di jalan area Bandung.",Montir|Otomotif,"Bandung, Jawa Barat",95000,2025-03-18T19:24:29.929002Z
newuser230@example.com,Tukang Kebun Panggilan,"Merawat taman, memotong rumput, dan menata tanaman untuk rumah Anda di Cirebon.",Tukang|Pertamanan,"Cirebon, Jawa Barat",190000,2025-12-28T12:52:04.929002Z
newuser232@example.com,Desainer Grafis Freelance,"Pembuatan logo, brosur, pamflet, dan materi promosi lainnya untuk bisnis Anda di Cirebon.",Kreatif|Desain,"Cirebon, Jawa Barat",735000,2026-02-25T22:08:38.929002Z
newuser237@example.com,Penerjemah Dokumen (Inggris-Indonesia),"Jasa penerjemahan dokumen, artikel, atau buku dari Bahasa Inggris ke Indonesia (atau sebaliknya) di Cirebon.",Bahasa|Penerjemah,"Cirebon, Jawa Barat",215000,2024-09-15T07:12:58.929002Z
newuser240@example.com,Guru Les Privat (SD/SMP/SMA),"Bimbingan belajar privat untuk mata pelajaran sekolah (Matematika, Fisika, Bahasa Inggris) di Cirebon.",Edukasi|Privat,"Cirebon, Jawa Barat",290000,2025-02-13T05:45:11.929002Z
newuser241@example.com,Jasa Cuci Pakaian Kiloan,"Layanan cuci, setrika, dan lipat pakaian dengan antar jemput di Jakarta Selatan.",ART|Rumah Tangga,"Jakarta Selatan, DKI Jakarta",40000,2025-01-03T09:15:29.929002Z
newuser244@example.com,Servis AC Handal,"Cuci, perbaikan, dan isi freon AC untuk berbagai merek di Depok.",Teknisi|Elektronik,"Depok, Jawa Barat",335000,2025-01-31T15:00:44.929002Z
newuser248@example.com,Jasa Dekorasi Acara,"Dekorasi untuk acara lamaran, aqiqah, atau ulang tahun dengan tema sesuai permintaan di Bekasi.",Kreatif|Dekorasi,"Bekasi, Jawa Barat",1275000,2026-04-15T00:13:24.929002Z
